,Title,Price,Original_Price,Discount,Link,Rating,Brand,Category,Price_Tier
0,Dr. Althea 345 Relief Cream 50ml,26.84,34.0,21.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA241227041,4.8,Dr.,Cream,Mid
1,medicube PDRN Pink Peptide Ampoule 30ml Double Pack,34.34,61.0,44.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA241126704,4.8,medicube,Ampoule,Mid
2,REJURAN Healer Turnover Ampoule Dual Effect 10ml Double Pack (+5ml+1ml*3),44.66,58.0,23.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250329130,4.8,REJURAN,Ampoule,Premium
3,VT Reedle Shot 100 Essence 50mL (+Reedle Shot 300 1ml*3ea),23.49,32.0,27.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240523657,4.7,VT,Essence,Mid
4,Dr.G Red Blemish Clear Soothing Cream Special Set (70mL+30mL),28.97,42.0,31.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA220414206,4.8,Dr.G,Spot Treatment,Mid
5,ma:nyo Pure Cleansing Oil 200ml Double Pack,30.1,43.0,30.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240724566,4.8,ma:nyo,Cleanser,Mid
6,Anua Niacinamide 10%+TXA 4% Dark Spot Correcting Serum 30ml Special Set (+PDRN Hyaluronic Capsule 100 Serum 5ml),22.5,30.0,25.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA241126972,4.6,Anua,Serum,Mid
7,Torriden Dive In Soothing Cream 100mL Special Set (+20mL),21.0,28.0,25.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA230920408,4.8,Torriden,Cream,Mid
8,Anua PDRN Hyaluronic Capsule 100 Serum 30ml Refill Set,24.2,48.0,50.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250329148,4.8,Anua,Serum,Mid
9,Arencia Fresh Green Rice Mochi Cleanser 120g Set (+Rosehip Cleanser 15g),19.49,23.0,15.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA241227085,4.7,Arencia,Cleanser,Budget
10,Anua PDRN Total Skincare Set,49.9,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GS250530578,4.8,Anua,Cream,Premium
11,BIOHEAL BOH Probioderm 3D Lifting Cream 50mL Refill Set,30.22,56.0,46.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240121787,4.8,BIOHEAL,Serum,Mid
12,Anua Heartleaf 77 Soothing Toner 350mL Special Set (+350mL Refill),38.15,55.0,31.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240925799,4.8,Anua,Toner,Mid
13,ilso Super Melting Sebum Softener 150mL Special Set (Special Gift: Cotton Pad 40P),26.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA231120909,4.6,ilso,Toner,Mid
